Open,High,Low,Close,Adj Close,Volume,Moving_Average
224.3699951171875,224.47999572753906,217.02000427246094,218.36000061035156,218.1075439453125,62501000,
219.14999389648438,225.60000610351562,217.7100067138672,219.86000061035156,219.60580444335938,105568600,
199.08999633789062,213.5,196.0,209.27000427246094,209.02806091308594,119548600,
205.3000030517578,209.99000549316406,201.07000732421875,207.22999572753906,206.9904022216797,69660500,
206.89999389648438,213.63999938964844,206.38999938964844,209.82000732421875,209.57742309570312,63516400,212.9080017089844
213.11000061035156,214.1999969482422,208.8300018310547,213.30999755859375,213.06338500976562,47161100,211.89800109863282
212.10000610351562,216.77999877929688,211.97000122070312,216.24000549316406,215.99000549316406,42201600,211.17400207519532
216.07000732421875,219.50999450683594,215.60000610351562,217.52999877929688,217.52999877929688,38028100,212.8260009765625
219.00999450683594,221.88999938964844,219.00999450683594,221.27000427246094,221.27000427246094,44155300,215.63400268554688
220.57000732421875,223.02999877929688,219.6999969482422,221.72000122070312,221.72000122070312,41960600,218.01400146484374
224.60000610351562,225.35000610351562,222.75999450683594,224.72000122070312,224.72000122070312,46414000,220.29600219726564
223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,226.0500030517578,44340200,222.25800170898438
225.72000122070312,225.99000549316406,223.0399932861328,225.88999938964844,225.88999938964844,40687800,223.93000183105468
225.77000427246094,227.1699981689453,225.4499969482422,226.50999450683594,226.50999450683594,30299000,224.97799987792968
226.52000427246094,227.97999572753906,225.0500030517578,226.39999389648438,226.39999389648438,34765500,225.91399841308595
227.7899932861328,228.33999633789062,223.89999389648438,224.52999877929688,224.52999877929688,43695300,225.8759979248047
225.66000366210938,228.22000122070312,224.3300018310547,226.83999633789062,226.83999633789062,38677300,226.03399658203125
226.75999450683594,227.27999877929688,223.88999938964844,227.17999267578125,227.17999267578125,30602200,226.2919952392578
226.0,228.85000610351562,224.88999938964844,228.02999877929688,228.02999877929688,35934600,226.59599609375
227.9199981689453,229.86000061035156,225.67999267578125,226.49000549316406,226.49000549316406,38052200,226.61399841308594
230.10000610351562,232.9199981689453,228.8800048828125,229.7899932861328,229.7899932861328,51906300,227.66599731445314
230.19000244140625,230.39999389648438,227.47999572753906,229.0,229.0,52990800,228.097998046875
228.5500030517578,229.0,221.1699981689453,222.77000427246094,222.77000427246094,50190600,227.21600036621095
221.66000366210938,221.77999877929688,217.47999572753906,220.85000610351562,220.85000610351562,43840200,225.78000183105468
221.6300048828125,225.47999572753906,221.52000427246094,222.3800048828125,222.3800048828125,36615400,224.95800170898437
223.9499969482422,225.24000549316406,219.77000427246094,220.82000732421875,220.82000732421875,48423000,223.16400451660155
220.82000732421875,221.27000427246094,216.7100067138672,220.91000366210938,220.91000366210938,67180000,221.54600524902344
218.9199981689453,221.47999572753906,216.72999572753906,220.11000061035156,220.11000061035156,51591000,221.01400451660157
221.4600067138672,223.08999633789062,217.88999938964844,222.66000366210938,222.66000366210938,44587100,221.37600402832032
222.5,223.5500030517578,219.82000732421875,222.77000427246094,222.77000427246094,37498200,221.45400390625
223.5800018310547,224.0399932861328,221.91000366210938,222.5,222.5,36766600,221.79000244140624
